SORT,ACCOUNT NO,ACCOUNT NAME, OPENING BALANCE , DEBIT AMOUNT , CREDIT AMOUNT , BALANCE ,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,-123669.653,20583.502,58349.019,-161435.17,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
 -   ,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
